id;timepoint;age;vocab_score;alternatives;source
1;T1;19;26;19;NA
1;T2;23;107;32;cross_sectional
1;T3;37;339;37;cross_sectional
2;T1;19;22;2;NA
2;T2;26;37;2;simulated
2;T3;39;56;2;simulated
3;T1;19;26;7;NA
3;T2;26;42;7;simulated
3;T3;37;57;7;simulated
4;T1;18;169;2;NA
4;T2;24;191;2;simulated
4;T3;37;215;3;simulated
5;T1;19;26;0;NA
5;T2;25;41;2;simulated
5;T3;38;58;7;simulated
6;T1;18;31;0;NA
6;T2;25;113;13;cross_sectional
6;T3;39;124;14;simulated
7;T1;18;95;34;NA
7;T2;24;95;34;cross_sectional
7;T3;37;163;34;cross_sectional
8;T1;18;60;2;NA
8;T2;24;76;5;simulated
8;T3;38;89;6;simulated
9;T1;19;207;0;NA
9;T2;23;220;1;simulated
9;T3;36;234;4;simulated
10;T1;17;12;0;NA
10;T2;26;26;0;simulated
10;T3;39;46;0;simulated
11;T1;20;60;0;NA
11;T2;25;108;0;cross_sectional
11;T3;39;127;4;simulated
12;T1;18;95;3;NA
12;T2;25;112;6;simulated
12;T3;39;121;9;simulated
13;T1;18;38;7;NA
13;T2;23;60;7;simulated
13;T3;39;79;7;simulated
14;T1;17;61;0;NA
14;T2;26;71;2;simulated
14;T3;36;90;4;simulated
15;T1;18;169;0;NA
15;T2;25;182;0;simulated
15;T3;36;189;3;simulated
16;T1;19;213;7;NA
16;T2;23;230;7;simulated
16;T3;38;248;10;simulated
17;T1;20;153;0;NA
17;T2;23;166;2;simulated
17;T3;38;606;11;cross_sectional
18;T1;17;31;3;NA
18;T2;26;31;13;cross_sectional
18;T3;38;62;13;simulated
19;T1;19;35;12;NA
19;T2;24;56;13;simulated
19;T3;39;75;17;simulated
20;T1;19;12;7;NA
20;T2;23;33;9;simulated
20;T3;37;52;13;simulated
21;T1;17;116;0;NA
21;T2;23;136;4;simulated
21;T3;37;152;5;simulated
22;T1;20;12;0;NA
22;T2;23;31;2;simulated
22;T3;39;50;2;simulated
23;T1;17;126;0;NA
23;T2;26;140;1;simulated
23;T3;39;227;2;cross_sectional
24;T1;17;12;0;NA
24;T2;23;18;1;simulated
24;T3;39;327;1;cross_sectional
25;T1;17;22;0;NA
25;T2;23;75;16;cross_sectional
25;T3;39;92;17;simulated
26;T1;19;207;0;NA
26;T2;23;223;3;simulated
26;T3;39;223;3;cross_sectional
27;T1;20;51;0;NA
27;T2;25;72;0;simulated
27;T3;39;90;3;simulated
28;T1;18;95;0;NA
28;T2;25;109;2;simulated
28;T3;39;115;3;simulated
29;T1;19;95;19;NA
29;T2;26;121;22;simulated
29;T3;38;130;22;simulated
30;T1;18;60;0;NA
30;T2;23;80;2;simulated
30;T3;37;92;3;simulated
31;T1;17;35;0;NA
31;T2;26;55;1;simulated
31;T3;36;78;4;simulated
32;T1;18;24;9;NA
32;T2;23;50;10;simulated
32;T3;36;86;10;cross_sectional
33;T1;19;31;0;NA
33;T2;25;70;0;cross_sectional
33;T3;36;84;3;simulated
34;T1;20;213;0;NA
34;T2;26;383;17;cross_sectional
34;T3;37;670;17;cross_sectional
35;T1;18;61;0;NA
35;T2;26;91;4;simulated
35;T3;36;107;6;simulated
36;T1;17;35;19;NA
36;T2;26;54;20;simulated
36;T3;39;606;20;cross_sectional
37;T1;19;31;18;NA
37;T2;24;58;20;simulated
37;T3;36;88;25;simulated
38;T1;19;197;19;NA
38;T2;24;204;19;simulated
38;T3;38;204;19;cross_sectional
39;T1;17;169;3;NA
39;T2;26;182;3;cross_sectional
39;T3;38;195;5;simulated
40;T1;20;213;18;NA
40;T2;26;229;18;simulated
40;T3;37;240;18;simulated
41;T1;19;99;0;NA
41;T2;25;118;0;simulated
41;T3;39;142;3;simulated
42;T1;20;322;0;NA
42;T2;25;322;0;cross_sectional
42;T3;36;329;0;simulated
43;T1;18;14;12;NA
43;T2;24;34;17;simulated
43;T3;38;53;17;simulated
44;T1;17;76;0;NA
44;T2;26;88;4;simulated
44;T3;38;109;8;simulated
45;T1;19;24;0;NA
45;T2;25;43;0;cross_sectional
45;T3;38;241;9;cross_sectional
46;T1;17;169;12;NA
46;T2;26;189;14;simulated
46;T3;39;212;14;simulated
47;T1;17;12;0;NA
47;T2;26;21;1;simulated
47;T3;36;44;6;simulated
48;T1;18;59;18;NA
48;T2;25;83;19;simulated
48;T3;37;656;19;cross_sectional
49;T1;19;3;0;NA
49;T2;23;17;1;simulated
49;T3;39;39;4;simulated
50;T1;19;26;0;NA
50;T2;24;47;1;simulated
50;T3;38;65;5;simulated
51;T1;20;197;0;NA
51;T2;26;197;1;cross_sectional
51;T3;38;213;2;simulated
52;T1;17;273;0;NA
52;T2;24;284;0;simulated
52;T3;36;669;14;cross_sectional
53;T1;19;213;0;NA
53;T2;24;213;0;cross_sectional
53;T3;38;232;3;simulated
54;T1;17;126;0;NA
54;T2;24;143;4;simulated
54;T3;38;152;8;simulated
55;T1;19;56;0;NA
55;T2;26;77;0;simulated
55;T3;39;92;3;simulated
56;T1;20;3;8;NA
56;T2;23;27;11;simulated
56;T3;36;45;12;simulated
57;T1;18;245;18;NA
57;T2;23;247;24;simulated
57;T3;39;670;24;cross_sectional
58;T1;17;68;0;NA
58;T2;24;78;1;simulated
58;T3;36;90;5;simulated
59;T1;18;60;0;NA
59;T2;24;60;18;cross_sectional
59;T3;36;78;18;simulated
60;T1;17;60;0;NA
60;T2;26;83;0;simulated
60;T3;39;100;0;simulated
61;T1;17;26;0;NA
61;T2;23;47;4;simulated
61;T3;37;53;6;simulated
62;T1;20;76;0;NA
62;T2;26;97;2;simulated
62;T3;36;119;3;simulated
63;T1;20;24;0;NA
63;T2;25;62;1;cross_sectional
63;T3;38;81;1;simulated
64;T1;19;59;0;NA
64;T2;23;64;0;simulated
64;T3;39;94;2;simulated
65;T1;17;51;0;NA
65;T2;25;75;2;simulated
65;T3;36;96;2;simulated
66;T1;18;153;0;NA
66;T2;25;153;29;cross_sectional
66;T3;39;669;29;cross_sectional
67;T1;17;61;2;NA
67;T2;24;80;3;simulated
67;T3;36;80;37;cross_sectional
68;T1;17;22;8;NA
68;T2;25;40;8;simulated
68;T3;38;40;8;cross_sectional
69;T1;19;51;0;NA
69;T2;25;74;0;simulated
69;T3;39;74;4;cross_sectional
70;T1;17;59;0;NA
70;T2;26;75;3;simulated
70;T3;38;656;3;cross_sectional
71;T1;18;116;2;NA
71;T2;25;116;11;cross_sectional
71;T3;36;116;11;cross_sectional
72;T1;17;12;8;NA
72;T2;23;30;13;simulated
72;T3;37;50;16;simulated
73;T1;19;46;34;NA
73;T2;25;113;34;cross_sectional
73;T3;36;656;34;cross_sectional
